quantity,type,supplier_id
964,glue sticks,33
93,paper clips,86
448,pencils,14
343,backpacks,132
332,notebooks,40
364,pens,20
158,dividers,7
537,sticky notes,133
806,backpacks,2
668,binders,34
697,index cards,139
67,stapler,134
48,post-it flags,17
838,pens,49
372,post-it flags,118
249,notebooks,125
459,paper clips,69
641,scissors,116
70,dry erase erasers,128
977,sticky notes,113
224,folders,43
415,water bottles,125
355,pens,19
641,backpacks,131
116,folders,57
8,markers,146
628,dry erase erasers,18
980,rulers,58
463,erasers,99
625,tape,19
261,sticky notes,91
570,water bottles,41
311,composition books,136
250,rulers,73
714,push pins,110
657,notebook paper,58
248,push pins,10
903,whiteboard markers,64
741,binders,18
291,calculator,48
686,stapler,93
615,dry erase erasers,112
124,index cards,7
649,rulers,139
149,highlighters,49
503,dividers,105
642,highlighters,69
149,rulers,134
817,dividers,34
236,sticky notes,50
840,highlighters,20
82,calculator,78
835,paper clips,77
401,erasers,73
960,markers,19
661,glue sticks,4
571,calculator,43
304,notebook paper,21
526,push pins,63
827,lunch boxes,33
21,composition books,33
667,tape,67
705,pencil sharpeners,114
973,composition books,150
229,pencil sharpeners,1
739,notebooks,100
271,glue sticks,14
727,pens,12
442,highlighters,106
538,notebooks,48
313,push pins,126
417,stapler,132
172,dry erase erasers,31
821,water bottles,128
904,scissors,94
200,composition books,62
106,push pins,13
951,scissors,17
501,scissors,80
243,pencil cases,105
190,scissors,17
607,binders,46
196,push pins,91
703,lunch boxes,113
581,binders,138
191,pencil cases,139
760,highlighters,21
294,pencil cases,146
586,pencil sharpeners,59
695,notebooks,39
338,folders,136
38,post-it flags,142
157,glue sticks,30
843,composition books,46
145,push pins,118
908,calculator,39
530,rulers,82
426,highlighters,82
844,index cards,52
798,folders,8
551,scissors,28
430,folders,24
810,calculator,69
91,pencils,119
681,pencil cases,125
573,pencil cases,70
327,backpacks,53
527,notebook paper,5
850,tape,5
452,dividers,106
326,rulers,81
568,binders,76
877,index cards,146
644,water bottles,75
324,water bottles,103
925,sticky notes,15
329,calculator,145
246,post-it flags,140
627,paper clips,37
5,markers,124
78,pencil cases,40
971,notebook paper,22
186,tape,6
187,paper clips,43
856,push pins,59
416,markers,92
77,paper clips,64
391,pencil sharpeners,144
489,binders,75
96,pencil sharpeners,118
625,folders,131
381,highlighters,24
429,pens,28
667,whiteboard markers,90
981,backpacks,124
596,pens,76
496,sticky notes,139
439,binders,57
260,markers,138
600,dividers,73
754,push pins,113
799,pens,127
50,tape,37
252,pens,109
396,pencil cases,80
333,binders,89
392,lunch boxes,80
39,composition books,110
223,binders,46
358,sticky notes,84
690,pencil cases,5
492,pencil cases,71
977,highlighters,22
284,notebook paper,25
941,markers,112
597,pencil cases,84
840,water bottles,13
703,backpacks,149
222,binders,148
595,push pins,126
893,pens,110
88,composition books,57
619,composition books,39
521,notebooks,68
569,pencils,111
549,composition books,45
481,tape,141
234,dry erase erasers,105
545,water bottles,124
250,highlighters,121
836,stapler,122
409,dividers,22
316,highlighters,115
899,glue sticks,115
791,dividers,135
551,markers,128
511,binders,7
822,pencil sharpeners,99
928,stapler,9
189,lunch boxes,142
316,dry erase erasers,9
828,composition books,22
353,rulers,72
352,binders,83
795,scissors,6
49,notebook paper,99
446,dry erase erasers,117
8,binders,42
722,pencils,2
245,stapler,12
163,erasers,96
112,markers,109
917,stapler,73
234,folders,33
693,binders,9
546,highlighters,8
786,calculator,64
161,highlighters,69
920,notebook paper,19
279,index cards,120
