code,designation,rubric_budget_id
5735360568,Athletic fees,13
4507509939,Lab fees,6
9901863081,Athletic fees,10
8355352899,Club membership fees,20
6716854401,Athletic fees,18
7930013316,Health insurance,3
2082245693,Health insurance,20
3058057614,Housing,14
2043736900,Research expenses,8
6611764641,Career counseling fees,12
7142699500,Books and supplies,6
7287836238,Parking permit,13
8533764054,Career counseling fees,10
5146529484,Club membership fees,17
4506209356,Graduation fees,7
7483523732,Graduation fees,15
3801279178,Food,5
8561191489,Lab fees,18
0131035270,Club membership fees,7
3330907085,Activity fees,11
5666193760,Career counseling fees,19
1256839488,Tuition fees,19
8760240398,Research expenses,9
4374909126,Technology fees,15
9396990292,Student ID replacement,7
2903313912,Housing,13
8129431971,Graduation fees,4
8541039575,Technology fees,18
6510992499,Library fines,15
2314611760,Parking permit,4
5974106464,Graduation fees,11
6801730596,Club membership fees,10
1293461864,Housing,19
5484067730,Internship expenses,15
7521662893,Housing,3
1629495237,Career counseling fees,15
3587863922,Student ID replacement,14
7882276702,Transportation,20
9205844871,Housing,10
2396421542,Research expenses,4
3371693868,Housing,7
3877338449,Tuition fees,16
8293760434,Transportation,12
4011088223,Tuition fees,17
3215631742,Activity fees,7
1853733885,Parking permit,11
8188039535,Study abroad program,4
6992477967,Library fines,7
6139434196,Lab fees,17
6722355346,Food,16
4054971173,Athletic fees,9
8741302008,Late registration fees,14
6077153607,Activity fees,5
7690564105,Study abroad program,8
2606373756,Transportation,17
6949777700,Food,15
1224565631,Career counseling fees,2
8370450779,Athletic fees,5
3262976697,Library fines,13
5846663130,Club membership fees,9
1944470915,Books and supplies,14
5385460705,Technology fees,10
9844189416,Library fines,1
1268809114,Transportation,14
0665938044,Transportation,17
5683919255,Activity fees,14
8988062148,Career counseling fees,2
2492298445,Student ID replacement,20
1479770048,Internship expenses,14
6280926846,Tuition fees,10
7987402793,Graduation fees,19
5977202916,Housing,15
1257922401,Lab fees,20
0679385898,Housing,4
0442909314,Athletic fees,3
5423644622,Late registration fees,1
7984462462,Research expenses,15
8891373731,Study abroad program,13
0642626884,Tuition fees,11
3318971092,Health insurance,9
9354821429,Student ID replacement,19
2413258275,Housing,8
6796759550,Housing,11
7103831100,Library fines,3
5094770152,Athletic fees,19
7603152603,Late registration fees,8
0120541552,Career counseling fees,12
6698014729,Health insurance,7
5193545519,Study abroad program,13
8516966499,Activity fees,10
0076287441,Library fines,11
2163737016,Lab fees,19
6769561837,Club membership fees,7
8739491482,Late registration fees,15
5373886605,Technology fees,14
6248437289,Study abroad program,1
8036942456,Activity fees,7
4925468660,Athletic fees,19
3381189071,Food,9
7523823062,Tuition fees,17
1361127296,Activity fees,7
5037077809,Tuition fees,9
5675367252,Research expenses,12
9801497718,Parking permit,16
7045494851,Study abroad program,3
8637507199,Athletic fees,7
2970273604,Internship expenses,18
1913513588,Books and supplies,16
4669251752,Athletic fees,7
9875069288,Transportation,10
0688054469,Parking permit,19
6713836723,Health insurance,20
9432143306,Student ID replacement,20
5251269395,Transportation,8
8253709313,Late registration fees,7
5564546594,Tuition fees,10
3281085531,Parking permit,1
5099383579,Housing,15
0956877234,Technology fees,16
1706282869,Activity fees,5
1651075314,Graduation fees,5
6443797643,Career counseling fees,3
8865595969,Internship expenses,15
3612547469,Study abroad program,9
4607122864,Health insurance,13
1013279970,Activity fees,9
4147551181,Books and supplies,9
5626470824,Research expenses,2
0801286232,Study abroad program,12
9084150297,Books and supplies,9
7941087766,Lab fees,17
1431399004,Activity fees,16
8870057785,Lab fees,12
5610901555,Library fines,6
4210820881,Activity fees,1
2670392475,Technology fees,14
4237371699,Health insurance,8
9177901756,Club membership fees,2
1121956381,Books and supplies,6
0901624654,Study abroad program,15
6967462792,Technology fees,5
7627532265,Food,15
2711447003,Club membership fees,2
8955189871,Graduation fees,14
0640453662,Internship expenses,8
1335946791,Housing,4
2927886773,Student ID replacement,13
7835453505,Student ID replacement,15
5144268060,Activity fees,7
3516110035,Career counseling fees,18
4211254925,Athletic fees,18
4965791219,Student ID replacement,14
5423351576,Housing,8
3108233461,Career counseling fees,17
4546606614,Technology fees,3
2642798822,Parking permit,6
5059645086,Research expenses,12
3044524025,Study abroad program,2
3874157683,Late registration fees,7
0140258345,Books and supplies,6
3952863004,Club membership fees,19
3949486542,Parking permit,8
6097023909,Research expenses,12
6340656868,Career counseling fees,1
5018576291,Club membership fees,15
1373417516,Study abroad program,15
8826884227,Health insurance,16
1243908525,Books and supplies,7
2112298164,Athletic fees,10
2006835717,Club membership fees,4
3354373325,Career counseling fees,1
0213945348,Books and supplies,5
1636742789,Tuition fees,5
3801640997,Research expenses,5
1953466105,Activity fees,19
1665739572,Health insurance,3
7224471096,Health insurance,18
6585538270,Graduation fees,17
6088967131,Career counseling fees,6
9282583867,Books and supplies,8
9299912297,Technology fees,20
6154880373,Club membership fees,13
1063850094,Research expenses,11
9653577402,Health insurance,2
7372702308,Club membership fees,4
0829228736,Transportation,16
7853817715,Graduation fees,8
3364144180,Activity fees,5
3484818905,Athletic fees,5
7833870746,Food,17
6020613578,Tuition fees,19
0614546578,Graduation fees,17
1125183649,Technology fees,9
4126894103,Club membership fees,14
7998124142,Study abroad program,2
4737295969,Career counseling fees,12
5983517892,Technology fees,10
3948722561,Late registration fees,1
1963326826,Internship expenses,15
9494220434,Technology fees,5
