approval_status,quantity,request_date,consumable_id,laboratory_id
2,224,2023-09-17 23:11:33,25,
1,225,2023-09-17 18:50:42,92,
1,116,2023-07-06 00:17:29,119,
1,233,2023-07-20 18:46:57,121,34
2,186,2023-12-07 05:55:19,58,32
2,216,2023-07-03 19:05:09,27,21
2,219,2023-12-14 12:28:56,66,
1,242,2023-10-16 13:55:54,136,
1,274,2023-03-29 23:24:09,160,38
1,212,2024-01-19 04:28:47,124,29
2,226,2023-08-15 14:30:06,159,
2,272,2024-02-01 00:33:21,117,26
2,244,2023-09-29 20:01:49,197,32
2,209,2023-10-13 19:34:23,22,36
2,183,2023-06-03 18:38:11,18,
2,114,2023-05-15 06:26:01,94,34
1,271,2024-01-24 20:01:32,2,
2,295,2023-04-10 00:12:05,137,
2,275,2023-09-21 07:32:02,136,
1,195,2023-05-04 22:36:38,140,
2,250,2023-08-22 01:59:18,147,28
1,290,2023-11-16 14:47:22,85,
2,159,2023-03-26 07:18:36,6,30
2,166,2023-12-03 13:31:26,47,31
1,109,2023-07-31 19:52:40,184,
2,214,2023-04-09 20:55:20,24,35
1,102,2023-04-13 05:30:09,193,22
1,175,2023-08-22 06:20:58,184,22
1,138,2023-07-25 20:49:03,2,21
2,247,2023-08-27 07:18:32,171,33
1,141,2023-05-29 18:32:52,186,
2,183,2023-08-10 22:30:15,48,38
1,234,2023-05-02 03:11:14,95,
2,131,2024-01-08 16:05:23,199,37
2,166,2023-07-17 09:29:23,51,
1,235,2023-07-11 01:28:47,127,32
1,111,2023-04-30 03:05:48,37,33
2,159,2023-05-16 10:40:01,68,26
1,286,2023-07-31 07:43:56,15,33
2,211,2023-07-20 11:49:12,145,21
2,254,2023-07-26 15:57:31,148,27
2,227,2024-01-30 03:20:32,167,22
2,165,2023-04-13 02:44:25,70,21
2,100,2023-07-24 08:17:31,61,
1,214,2023-11-01 18:36:09,49,
2,139,2023-04-16 05:03:53,86,21
2,252,2023-04-23 20:13:40,132,34
1,269,2023-06-16 10:26:44,59,26
1,199,2023-05-06 22:19:02,57,24
2,249,2023-11-22 11:19:07,140,
