approval_status,request_date,laboratory_id,material_id
2,2023-12-20 02:01:38,30,107
1,2023-11-10 06:47:21,35,103
2,2023-08-04 05:15:08,35,126
1,2023-04-18 02:38:19,38,105
0,2023-07-22 05:44:03,22,114
0,2023-06-02 15:16:33,38,122
2,2024-01-22 19:37:40,32,113
1,2023-08-01 04:24:14,38,103
1,2023-03-29 01:50:21,27,137
0,2024-01-15 10:49:18,36,120
1,2024-01-08 15:59:59,39,118
0,2023-10-02 11:30:43,24,148
0,2023-04-26 07:03:57,23,134
1,2024-01-28 05:15:06,40,132
1,2023-09-06 22:43:58,40,144
2,2023-10-20 14:02:00,33,140
2,2023-08-26 10:31:05,31,129
0,2024-01-27 04:15:59,24,145
1,2023-04-24 00:56:57,30,129
0,2023-05-28 07:34:36,21,109
1,2023-03-29 20:15:09,31,145
2,2023-08-26 03:27:43,30,105
0,2023-07-22 01:30:01,24,136
1,2023-12-25 11:26:31,28,138
0,2023-12-04 23:12:11,30,104
0,2023-03-20 07:28:22,28,106
0,2023-10-09 22:55:26,22,142
2,2023-06-11 22:57:03,30,113
0,2023-11-27 15:27:58,21,122
1,2023-08-05 22:25:10,38,130
1,2023-12-18 08:19:05,40,150
0,2023-04-20 13:07:28,35,107
2,2023-05-02 00:45:59,28,120
2,2023-07-29 22:55:03,32,111
1,2023-08-07 09:39:28,36,146
1,2023-09-27 05:45:50,24,107
