quantity,type
17,water bottles
497,water bottles
912,pens
336,binders
571,stapler
191,index cards
587,whiteboard markers
74,pencil cases
417,push pins
703,backpacks
1,binders
884,sticky notes
218,dividers
830,post-it flags
553,whiteboard markers
920,dry erase erasers
27,markers
315,folders
667,water bottles
840,dividers
114,water bottles
733,binders
630,push pins
784,glue sticks
133,dry erase erasers
990,pencil sharpeners
217,binders
933,erasers
831,whiteboard markers
186,stapler
59,sticky notes
465,calculator
263,pencil cases
644,water bottles
646,push pins
872,whiteboard markers
933,calculator
829,binders
485,pencil sharpeners
898,pens
111,post-it flags
664,pencil cases
368,paper clips
176,composition books
91,calculator
868,post-it flags
504,pencils
829,lunch boxes
244,lunch boxes
77,rulers
836,highlighters
480,push pins
35,dividers
165,whiteboard markers
254,binders
524,calculator
369,highlighters
570,pencil cases
653,paper clips
147,pencil cases
88,composition books
186,stapler
81,binders
978,binders
44,push pins
327,pencil cases
448,dry erase erasers
112,backpacks
485,post-it flags
921,pencil cases
811,water bottles
199,water bottles
981,folders
3,binders
20,backpacks
687,binders
491,pens
1000,glue sticks
804,sticky notes
529,notebook paper
714,pencil sharpeners
797,post-it flags
325,erasers
237,stapler
389,backpacks
584,notebook paper
108,stapler
244,rulers
695,whiteboard markers
489,pens
680,post-it flags
594,calculator
251,tape
538,calculator
249,notebooks
847,sticky notes
724,push pins
267,highlighters
291,scissors
903,notebooks
98,calculator
313,pencils
478,pens
440,lunch boxes
793,pencils
339,calculator
152,tape
596,push pins
968,sticky notes
376,sticky notes
623,notebook paper
29,glue sticks
296,binders
460,pencils
514,highlighters
150,erasers
467,rulers
204,lunch boxes
986,pens
167,pencil cases
586,erasers
174,highlighters
947,glue sticks
222,stapler
979,sticky notes
888,water bottles
362,tape
534,dry erase erasers
646,erasers
387,backpacks
898,highlighters
991,scissors
147,pens
591,pens
962,composition books
892,calculator
401,dry erase erasers
286,rulers
520,stapler
784,highlighters
960,push pins
896,notebooks
509,binders
43,paper clips
736,binders
864,lunch boxes
839,highlighters
845,notebooks
589,folders
811,sticky notes
869,binders
496,notebook paper
301,dry erase erasers
806,lunch boxes
173,sticky notes
27,calculator
46,pencil cases
927,push pins
504,rulers
204,push pins
502,composition books
502,backpacks
452,markers
573,rulers
297,tape
409,calculator
726,pens
807,lunch boxes
585,push pins
973,dry erase erasers
774,push pins
603,pencil sharpeners
896,water bottles
65,notebook paper
922,lunch boxes
504,backpacks
227,binders
354,highlighters
973,pencils
28,stapler
738,pencil cases
162,lunch boxes
345,erasers
348,markers
399,backpacks
40,tape
496,sticky notes
117,index cards
304,composition books
706,stapler
164,post-it flags
936,notebooks
752,composition books
69,composition books
105,tape
905,water bottles
884,backpacks
739,pencil sharpeners
706,scissors
569,water bottles
